,<=10_10-20,<=10_20-30,<=10_30-40,<=10_40-50,<=10_50-60,<=10_60-70,10-20_20-30,10-20_30-40,10-20_40-50,10-20_50-60,10-20_60-70,20-30_30-40,20-30_40-50,20-30_50-60,20-30_60-70,30-40_40-50,30-40_50-60,30-40_60-70,40-50_50-60,40-50_60-70,50-60_60-70,<=10_70+,10-20_70+,20-30_70+,30-40_70+,40-50_70+,50-60_70+,60-70_70+
deepface standard deviation,0.089424233,0.087810396,0.089538325,0.09143423,0.101811923,0.08026636,0.112559556,0.109503351,0.116655745,0.107199774,0.104283795,0.101569277,0.101157905,0.096405162,0.090294726,0.100431258,0.098749122,0.094660892,0.11584643,0.105245683,0.118490087,0.07759304,0.100746108,0.077059336,0.088917295,0.10431959,0.111323511,0.11818619
insightface standard deviation,0.0768416,0.073318928,0.069215829,0.066058041,0.062493813,0.064568996,0.121438752,0.119078121,0.121833034,0.114614428,0.112171827,0.101428125,0.103590809,0.102226274,0.099189095,0.081306751,0.083461843,0.087146956,0.091943983,0.091420918,0.093722359,0.069809975,0.100812751,0.084442487,0.078196963,0.083481509,0.092050368,0.090125602
paddle standard deviation,0.054225609,0.054817785,0.051206414,0.053844855,0.062238577,0.067454614,0.095816096,0.088423747,0.092168748,0.090661063,0.087902011,0.089157185,0.087285244,0.083206716,0.081927344,0.083496071,0.080049375,0.080144584,0.098014415,0.090566978,0.099412538,0.072998238,0.086894885,0.076715203,0.073779289,0.079882792,0.093155691,0.104539846
