,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
deepface average,0.4593055555,0.3381648864692308,0.369567957802439,0.3841841512460318,0.40307878305316974,0.4333760689573991,0.44144825565866663,0.4825929163626373
insightface average,0.43980833325,0.48523082775,0.5538049303357844,0.5618031102589642,0.5730396051190966,0.597269065126126,0.6025370330697051,0.6270975502619925
paddle average,0.3754555556666667,0.3437573154583333,0.35518212535638294,0.34858188958297875,0.35407392786563874,0.38258041288433736,0.3901838187109827,0.42927463158039214
