,Person,<=10_10-20,<=10_20-30,<=10_30-40,<=10_40-50,<=10_50-60,<=10_60-70,10-20_20-30,10-20_30-40,10-20_40-50,10-20_50-60,10-20_60-70,20-30_30-40,20-30_40-50,20-30_50-60,20-30_60-70,30-40_40-50,30-40_50-60,30-40_60-70,40-50_50-60,40-50_60-70,50-60_60-70,<=10_70+,10-20_70+,20-30_70+,30-40_70+,40-50_70+,50-60_70+,60-70_70+
0,383,,,,,,,,,,,,,,,,,,,0.7,0.66040625,0.714525,,,,,0.5541499999999999,0.525,0.6236625
1,258,,,,,,,,,,,,0.55545,0.4551333333333334,0.4014633333333333,0.40610666666666667,0.5735791666666666,0.5188229166666667,0.5115124999999999,0.6108861111111111,0.5796555555555555,0.64445,,,0.36849999999999994,0.4606,0.52815,0.6004916666666666,0.712475
2,5,,,,,,,,,,,,0.5893309523809523,0.5784690476190475,0.5650249999999999,0.4319,0.5633448979591836,0.5454642857142857,0.43447142857142856,0.6009785714285715,0.5159571428571429,0.5589,,,0.4432666666666667,0.43540535714285716,0.45410892857142865,0.4995375,0.47148749999999995
3,52,,,,,,,0.5423,0.57945,0.5208999999999999,0.5208,0.3228,0.70535,0.6449916666666667,0.6172,0.43496666666666667,0.6583,0.6696500000000001,0.5021,0.6642,0.50795,0.6014,,0.37879999999999997,0.50605,0.5157416666666667,0.5087958333333334,0.5978666666666667,0.5627833333333333
4,256,,,,,,,0.30276,0.260725,0.24713333333333332,0.21176666666666666,0.21220000000000003,0.6181300000000001,0.5715766666666668,0.4856333333333333,0.49224,0.6172,0.5418083333333333,0.5408375,0.6242944444444444,0.5941944444444444,0.5951388888888889,,0.13544285714285717,0.3917171428571428,0.44950178571428573,0.5351190476190476,0.55705,0.5680952380952382
5,534,,,,,,,0.44993999999999995,0.3994166666666667,0.36508749999999995,0.31224285714285716,0.36246666666666666,0.5731066666666667,0.5246774999999999,0.4972371428571429,0.5239066666666667,0.5461979166666666,0.533304761904762,0.55225,0.5962500000000001,0.6409124999999999,0.6733285714285714,,,,,,,
6,315,,,,,,,0.3303125,0.3193555555555556,0.24859999999999996,0.30184999999999995,0.25691,0.5186555555555556,0.4165416666666666,0.5242625,0.4233200000000001,0.3929296296296296,0.48637777777777785,0.36922,0.43695,0.3521466666666667,0.4666099999999999,,0.22955,0.41182499999999994,0.3677407407407407,0.36040000000000005,0.4465333333333334,0.5854333333333333
7,228,,,,,,,,,,,,,,,,0.56359,0.429845,0.35613333333333336,0.48525199999999996,0.4119133333333333,0.44990666666666657,,,,0.273125,0.33083999999999997,0.40979,0.4253666666666665
8,221,,,,,,,,,,,,0.5203,0.5129250000000001,0.39531000000000005,0.39063125,0.5093972222222222,0.42483777777777776,0.4334986111111111,0.48889999999999995,0.48066875000000003,0.5988374999999999,,,0.367965,0.3897055555555555,0.44221000000000005,0.549454,0.62168125
9,94,,,,,,,0.44323000000000007,0.35942857142857143,0.3417388888888888,0.321775,0.34043571428571434,0.5386399999999999,0.49125333333333326,0.43982,0.42897428571428575,0.559352380952381,0.4887714285714285,0.4820469387755102,0.5803027777777777,0.5548698412698412,0.6652214285714286,,,,,,,
10,181,,,,,,,,,,,,0.4890116666666667,0.42664375,0.4470033333333333,,0.46790374999999995,0.5155660000000001,,0.5082774999999999,,,,,,,,,
