,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
deepface standard deviation,0.13080582191723664,0.1871399669451272,0.13544407719964288,0.12070736603961361,0.13565070954484587,0.15327013018527064,0.1583893952998886,0.1461840591331608
insightface standard deviation,0.23073785079401016,0.1409519923687914,0.10714740394349752,0.09312045470368036,0.092089879787682,0.0953903697759876,0.11705839013630732,0.10296012791608308
paddle standard deviation,0.14328213153424366,0.13509558212006503,0.11235453691537925,0.09869265020057465,0.1069276451438021,0.11715649693490779,0.12860586060226145,0.12047453827215086
