,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
85,50,,,0.378557143,0.507696429,0.35355,0.40069,0.553933333,0.517208889
86,132,,0.2488,0.30934,0.334842857,,0.3945,,0.264533333
87,10,,,0.0512,0.385271429,0.47673,,0.3508,
88,248,,,0.597,0.62848,0.51245,0.482666667,0.268366667,0.597010714
89,379,,,,0.481,0.4184,0.2416,0.575833333,
90,563,,,0.5373,0.29547619,0.443190476,0.431142857,0.478557143,
91,513,,0.5103,0.31884,0.522546667,0.275,0.586,,
92,265,,,0.442080556,0.37152,,,,
93,80,,0.1352,0.459225,0.410671111,0.132033333,0.1857,0.610419444,
94,366,,,0.0686,0.495116667,,,,
95,553,,,,0.487833333,0.359328889,0.410828571,0.430883333,0.202766667
96,123,,,,,,0.3876,,0.427042857
97,66,,0.5188,0.326488889,0.274271429,0.317826667,0.5003,,
98,38,,,0.525133333,0.377891111,0.477752381,0.317804444,,
99,504,,,0.24475,0.35932381,0.514989286,0.486304762,0.534922222,0.6294
100,156,,,0.407433333,0.36397,0.280533333,0.5091,0.3552,
101,60,,,0.679716667,0.469890476,0.3491,0.841890476,0.809333333,
102,398,,0.3345,,,0.361366667,0.5953,0.308733333,0.473275
103,173,,,,0.612266667,0.410733333,0.34985,0.3156,0.3187
104,135,,,0.428,0.29533,0.614,0.4555,,0.5581
105,261,,,0.323766667,0.312339286,0.515064444,0.562164286,,
106,136,,,0.43102,0.374342857,0.436093333,0.253116667,0.596732143,0.55832381
107,233,,0.3346,0.390083333,0.4315,0.3267,0.233566667,0.5639,
108,252,,,0.40862381,0.575186667,0.5969,,0.5257,
109,196,,0.4017,0.472753333,0.3827,0.4185,0.409361905,0.451633333,0.548783333
110,213,,,0.282833333,0.3557,,,,
111,416,,,0.415,,,0.225033333,0.46188,
112,520,,0.605366667,0.324666667,0.30651,0.553433333,0.328933333,0.481,0.64913
113,536,,,,0.765067857,0.415209524,0.77177619,0.71432381,
114,161,,,0.1796,0.2686,,0.560016667,,0.4846
115,22,,,,0.457357143,0.546109524,0.542739286,0.357233333,0.5363
116,241,,,0.361366667,0.33354,0.5691,0.6682,0.443233333,
117,225,,,,,,0.6418,0.324466667,0.30317
118,266,,,0.373616667,0.403033333,0.1776,0.227,0.346066667,
119,455,,,0.40982,0.625516667,0.330966667,0.377033333,,
120,210,,,,0.490816667,0.412938095,0.4379,0.34065,
121,367,,,0.454133333,0.331119048,0.424366667,0.435361905,0.438160714,0.6015
122,317,,,0.31047619,0.3207,0.298109524,0.2542,,
123,448,,,0.40952,0.55476,0.46962,0.58798,0.4383,0.592806667
124,128,0.630033333,0.23548,0.50625,,,0.587,0.5265,0.537198485
125,375,,,0.6128,0.552766667,0.295793333,0.556896429,0.540583333,0.52023
126,249,,,0.337553333,0.380617857,0.56671,0.397455556,,
127,550,,,0.5388,0.371061905,0.458466667,0.34326,0.37309,0.364986667
128,512,,,0.30645,0.125666667,0.238033333,0.68288,0.8156,
129,87,,,0.220366667,0.5795,0.0701,0.4308,,0.621
130,406,,,,0.561083333,,,,0.507205556
131,535,,0.308,0.56474,,,,0.270473333,
132,562,,,0.4086,,0.1388,0.2365,0.34604,
133,325,,,,,,0.350990476,,
134,542,,,0.34456,0.519152381,0.32393,,,0.666266667
135,419,,,,,,0.3998,,0.43369
136,286,,,,,0.396471429,0.424546667,0.441116667,
137,363,,0.547733333,0.290222222,0.45932,0.242733333,0.25115,0.291533333,0.61762
138,120,,0.31212,0.368927778,0.305486667,0.48725,0.5547,0.47,0.365642857
139,331,,,0.332833333,0.430366667,0.421014286,0.46785,0.673,
140,216,,,0.456580952,0.227716667,0.266383333,0.139166667,0.45896,
141,56,,,0.199416667,0.24543,0.428733333,0.577053333,0.72016,0.638571429
142,105,,,0.253793333,0.357117857,0.290617857,0.20155,0.451826667,
143,57,,0.400246667,0.421580952,0.340790476,0.35205,0.5057,,
144,494,,,0.30947,0.3409,0.942233333,0.8066,0.40159,0.438275556
145,369,,,0.338173333,0.228533333,0.3069,0.26056,,
146,353,,,0.32936,0.566690476,0.434233333,0.41185,0.1879,0.52086
147,4,,,0.5961,0.3695,0.250704762,0.52865,0.690478571,
148,439,,,0.5453,,0.444533333,,,0.42837619
149,306,,,0.339139286,0.283973333,0.43606,0.622838095,,
150,214,,,0.39105,0.50131,0.4368,0.554533333,0.5566,0.444514286
151,530,,,0.261746667,0.258651111,0.296433333,0.2595,0.2984,0.389660714
152,20,,,,0.3987,0.396216667,0.542683333,0.4793,0.513833333
153,470,,,,0.31633,0.39417,0.3891,0.6931,0.555633333
154,497,,,0.424403571,0.33667,0.37098,0.323666667,0.7014,
155,268,,,,0.38508,0.444153333,0.0511,0.0724,0.473255556
156,149,,,,0.5381,0.393286667,0.346433333,0.432,
157,324,,,0.25117,0.364104762,0.391683333,0.279,0.2322,
158,421,,0.3871,0.28089,0.28866,0.453809524,0.1537,0.6096,0.62077
159,217,,,,0.3791,,0.632083333,0.407833333,0.5179
160,237,,,0.407471429,0.36058,0.329983333,0.316013333,0.339695238,0.7333
161,441,,,0.241266667,0.466783333,0.339528571,0.30848,0.391293333,0.31786
162,334,,,0.415538095,0.409366667,,0.279,0.29339,0.43765
163,410,,,0.6032,0.521116667,0.412883333,0.4114,0.5941,0.524033333
164,565,,,0.319866667,0.4997,0.3339,0.256116667,0.1707,0.317217949
165,16,,,0.344283333,0.37095,,,,
166,164,,,,0.317004762,0.361209524,0.336966667,0.477153333,0.3005
167,483,,,0.4837,0.381557143,0.372331111,0.368317857,0.446130556,
168,275,,0.43795,0.28976,0.212266667,,,,
169,277,,0.331610714,0.359642857,0.478189286,0.632246667,,,
170,534,,,0.24379,0.41342,0.499296429,0.513442857,0.9512,
171,192,,,0.403942857,0.589226667,0.345295556,0.419666667,0.45843,0.3778
172,420,,0.28765,0.371580556,0.421813889,0.2619,0.67771,,
173,185,,,,0.354533333,0.28984,0.262326667,0.320266667,
174,54,,,0.493553333,0.30028,0.400866667,0.4145,,0.5997
175,481,,,0.315573333,0.223083333,0.0265,0.5528,0.0163,0.267406667
176,283,,,0.3701,0.456439286,,,,
177,388,,,0.33934,0.357971429,0.41258,0.427833333,0.242666667,
178,246,,,0.49561,0.468713333,0.439033333,0.522,0.59318,0.585433333
